ID;ModifyDate;ComputerName;Name;Vendor;Version;Decomissioned
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft Silverlight 4 SDK;Microsoft Corporation;4.0.60310.0;0
;2017-05-02 15:15;S3DB-INTEG-P;SQL Server 2014 Analysis Services;Microsoft Corporation;12.1.4100.1;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft Visual Studio Tools for Applications 2012 x86 Hosting Support;Microsoft Corporation;11.0.51108;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft SQL Server 2008 Setup Support Files ;Microsoft Corporation;10.3.5500.0;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft Silverlight 5 SDK;Microsoft Corporation;5.0.61118.0;0
;2017-05-02 15:15;S3DB-INTEG-P;VMware Tools;VMware. Inc.;10.0.0.3000743;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft SQL Server 2008 R2 Management Objects;Microsoft Corporation;10.51.2500.0;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft SQL Server 2014 Transact-SQL ScriptDom ;Microsoft Corporation;12.1.4100.1;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft VSS Writer for SQL Server 2014;Microsoft Corporation;12.1.4100.1;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft SQL Server Data Tools Build Utilities - enu (11.1.20627.00);Microsoft Corporation;11.1.20627.00;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft Visual Studio Tools for Applications 2012 x86 Hosting Support - ??? Language Pack;Microsoft Corporation;11.0.51108;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft System CLR Types for SQL Server 2012 (x64);Microsoft Corporation;11.0.2100.60;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft ASP.NET Web Pages - Visual Studio 2012 Tools;Microsoft Corporation;1.0.20710.0;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft Visual Studio 2012 Shell (Integrated);Microsoft Corporation;11.0.50727;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft Visual Studio Tools for Applications 2012 x64 Hosting Support - DEU-Sprachpaket;Microsoft Corporation;11.0.51108;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft Visual Studio Tools for Applications x86 Runtime 3.0;Microsoft Corporation;10.0.40220;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft Visual Studio Tools for Applications 2012 ??? - ???????;Microsoft Corporation;11.0.51108;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft Visual Studio 2013 Devenv Resources;Microsoft Corporation;12.0.21005;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft Visual Studio Tools for Applications 2012 Language Support Finalizer;Microsoft Corporation;11.0.50727;0
;2017-05-02 15:15;S3DB-INTEG-P;SQL Server Browser for SQL Server 2014;Microsoft Corporation;12.1.4100.1;0
;2017-05-02 15:15;S3DB-INTEG-P;SQL Server 2014 Data Tools - BI for Visual Studio 2013;Microsoft Corporation;12.0.2430.0;0
;2017-05-02 15:15;S3DB-INTEG-P;???????? ????? ??? ????????? ?????????? ?????? ??????? Microsoft Visual Studio Tools ??? ?????? ? ???????????? 2012 (x64) - RUS;Microsoft Corporation;11.0.51108;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft SQL Server 2012 T-SQL Language Service ;Microsoft Corporation;11.0.2100.60;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft Web Deploy 3.0;Microsoft Corporation;3.1236.1631;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft Visual Studio Tools for Applications 2012 x64 Hosting Support;Microsoft Corporation;11.0.51108;0
;2017-05-02 15:15;S3DB-INTEG-P;Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005;Microsoft Corporation;12.0.21005;0
