ID;Date;ComputerName;ComputerDomain;Decomissioned;Model;Manufacturer;InstallDate;SerialNumber;OperatingSystem;ServicePack;OSArchitecture;OSLanguage;InstalledMemory;CPUID;CPULogical;CPUCores
;;S1KARTDB-T;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c 5d bd b0 14 a6 8b-a9 87 6c 05 8c 0d 9a 2d;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;12.0;CPU0/CPU1;01-jan;01-jan
;;S1NAV-DB-P;boxer.local;0;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-42 3c 5c 56 16 7b 44 31-bf f5 bb 06 ca e8 36 bc;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;146.0;CPU0/CPU1;03-mar;03-mar
;;S1NAV-DB-S;boxer.local;0;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-42 3c a4 f8 f6 a5 e4 77-b4 10 55 63 e4 eb 43 8e;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;96.0;CPU0;2;2
;;S1ORCH;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c 33 12 f9 52 2d 41-74 65 25 f4 31 51 ab 99;Microsoft Windows Server 2008 R2 Datacenter ;Service Pack 1;64-bit;1033;8.0;CPU0;2;2
;;S1RPTSRV-P;ki.teracom.se;0;ProLiant DL360 G7;HP;2016-06-13;CZJ1500GR4      ;Microsoft Windows Server 2008 R2 Standard ;Service Pack 1;64-bit;1033;32.0;CPU0/CPU1;06-jun;12-dec
;;S1RPTSRV-T;ki.teracom.se;0;ProLiant DL360 G7;HP;2016-06-13;CZJ1500MFG      ;Microsoft Windows Server 2008 R2 Standard ;Service Pack 1;64-bit;1033;24.0;CPU0/CPU1;06-jun;12-dec
;;S1S;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-56 4d bb e2 eb 39 04 d5-cf bc ff 9d 1e 3a dd 64;Microsoft Windows Server 2008 R2 Enterprise ;Service Pack 1;64-bit;1033;8.0;CPU0;1;1
;;S1SCSM-DB-P;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c 02 b1 77 32 8c 89-fb ca 21 bb a3 00 dd 27;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;12.0;CPU0/CPU1;02-feb;02-feb
;;S1SCSM-DB-T;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c 45 ac 30 93 5a 37-78 8d 03 48 18 63 57 3f;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;8.0;CPU0/CPU1/CPU2/CPU3;1/1/1/1;1/1/1/1
;;S1SCSM-DWH-P;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c 84 5b f1 eb 16 b4-2c fd 4c 11 6c ad 3c 56;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;12.0;CPU0/CPU1;01-jan;01-jan
;;S1SCSM-ORCH-P;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c 7c 6b 60 4f 54 d8-54 a1 bb 77 af 81 00 94;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;8.0;CPU0/CPU1;01-jan;01-jan
;;S1SP-DB-P;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c 83 8c 94 e7 d8 8d-99 5b bc 8f db 6f 4f 76;Microsoft Windows Server 2012 Datacenter;NULL;64-bit;1033;32.0;CPU0;4;4
;;S1SP-DB-T;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c e6 3c c8 e9 93 f2-e8 2b ec fb 13 d2 9d 46;Microsoft Windows Server 2012 Datacenter;NULL;64-bit;1033;24.0;CPU0;4;4
;;S1SQLMGMT-P;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c 19 c4 04 a6 7c db-b9 3e 87 91 f3 2d c6 1c;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;12.0;CPU0;2;2
;;S1TFS;boxer.local;0;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-42 3c 72 c8 c7 07 d0 55-f7 9a ba 62 8e 25 23 dc;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;8.0;CPU0;2;2
;;S1WEBDB-P;perimeter.boxer.local;0;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-42 3c 05 47 de c1 f9 05-0d 25 1c fd 11 80 9e 47;Microsoft Windows Server 2008 R2 Datacenter ;Service Pack 1;64-bit;1033;32.0;CPU0/CPU1/CPU2/CPU3;1/1/1/1;1/1/1/1
;;S1WEBDB-S;perimeter.boxer.local;0;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-56 4d 12 11 76 dc 83 62-9a 48 df 7a f3 23 5d e8;Microsoft Windows Server 2008 R2 Enterprise ;Service Pack 1;64-bit;1033;32.0;CPU0/CPU1/CPU2/CPU3;1/1/1/1;1/1/1/1
;;S1WEBDB-T;boxer.local;0;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-42 3c 69 af 6d 84 56 ba-9e dc 9b fd e6 fd bd b5;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;24.0;CPU0;4;4
;;S1WEB-UTV;boxer.local;0;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-56 4d 28 31 4c 57 93 5a-ef 43 bc 9e 7a d5 dd 02;Microsoft Windows Server 2008 R2 Enterprise ;Service Pack 1;64-bit;1033;4.0;CPU0;1;1
;;S2BIZ-DB-P;boxer.local;0;ProLiant DL380p Gen8;HP;2016-04-06;CZ22480821      ;Microsoft Windows Server 2008 R2 Enterprise ;Service Pack 1;64-bit;1033;32.0;CPU0/CPU1;08-aug;16/16
;;S2BIZ-T;boxer.local;0;ProLiant DL380p Gen8;HP;2016-04-06;CZ2234091W      ;Microsoft Windows Server 2008 R2 Enterprise ;Service Pack 1;64-bit;1033;96.0;CPU0/CPU1;08-aug;16/16
;;S2CRM-T;boxer.local;0;VMware7.1;VMware. Inc.;2016-04-06;VMware-42 3c 57 7b de b0 9b fe-75 64 19 d1 84 6e 13 4b;Microsoft Windows Server 2012 Datacenter;NULL;64-bit;1033;8.0;CPU0;2;2
;;S2NAV-T;boxer.local;0;ProLiant DL380p Gen8;HP;2016-04-06;CZ223408KV      ;Microsoft Windows Server 2008 R2 Enterprise ;Service Pack 1;64-bit;1033;96.0;CPU0/CPU1;08-aug;16/16
;;S2SCCM;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c 39 9b eb 65 ae 19-38 7e 41 8f 79 49 40 36;Microsoft Windows Server 2008 R2 Standard ;Service Pack 1;64-bit;1033;16.0;CPU0/CPU1;02-feb;02-feb
;;S2TWEB-DB-T;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c 14 a0 cc 1e 75 eb-26 71 17 ad 68 22 3a e8;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;12.0;CPU0/CPU1;01-jan;01-jan
;;S2WEBDB;perimeter.boxer.local;0;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-56 4d 86 b2 88 07 51 49-8c d3 45 aa b8 94 1f 53;Microsoft Windows Server 2008 R2 Enterprise ;NULL;64-bit;1033;32.0;CPU0/CPU1/CPU2/CPU3;1/1/1/1;1/1/1/1
;;S2WEBDB-S;perimeter.boxer.local;0;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-42 3c 91 33 2b 68 d6 d8-3f ca fc 52 2c 8f 3e 78;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;32.0;CPU0/CPU1;02-feb;02-feb
;;S2WEBDB-T;boxer.local;0;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-42 3c c5 3c 0e c2 0f 63-dc 9e db e4 ab a6 d5 a8;Microsoft Windows Server 2008 R2 Datacenter ;Service Pack 1;64-bit;1033;24.0;CPU0;1;1
;;S35A;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-56 4d 3c a0 fa b1 98 a1-7a 55 63 18 35 90 ec 8d;Microsoft Windows Server 2008 R2 Enterprise ;Service Pack 1;64-bit;1033;4.0;CPU0;1;1
;;S3CTX-CORP-APP;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c 44 0d c2 b3 46 69-12 96 96 32 53 e8 aa 71;Microsoft Windows Server 2008 R2 Datacenter ;Service Pack 1;64-bit;1033;24.0;CPU0/CPU1;02-feb;02-feb
;;S3DB-T;boxer.local;0;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-42 3c 11 ff 02 07 c8 ba-c3 bd 30 3e fc 96 0d f8;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;8.0;CPU0/CPU1;01-jan;01-jan
;;S3NAV-P;boxer.local;0;ProLiant DL380p Gen8;HP;2016-04-06;CZ22450471      ;Microsoft Windows Server 2008 R2 Enterprise ;Service Pack 1;64-bit;1033;256.0;CPU0/CPU1;08-aug;16/16
;;S40A;ki.teracom.se;0;ProLiant DL360p Gen8;HP;2016-06-13;CZJ2220K94      ;Microsoft Windows Server 2008 R2 Standard ;Service Pack 1;64-bit;1033;8.0;CPU0;6;12
;;S4CTXBOX-DB;boxer.local;0;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-42 3c c6 8a b5 05 74 6b-43 09 8e 45 a0 90 52 07;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;8.0;CPU0/CPU1;01-jan;01-jan
;;S68A;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c 07 58 5f 4c 16 cf-c3 bb 1a 44 21 06 d8 da;Microsoft Windows Server 2008 R2 Datacenter ;Service Pack 1;64-bit;1033;4.0;CPU0;1;1
;;S6DB;Corpnet.teracom.se;0;ProLiant DL380p Gen8;HP;2016-06-13;CZ2236088R      ;Microsoft Windows Server 2008 R2 Standard ;Service Pack 1;64-bit;1033;32.0;CPU0/CPU1;08-aug;16/16
;;SGHT17VCDB;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 39 3b 10 c6 ae a9 5d-a0 d8 a8 47 7c d2 2f 5d;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;8.0;CPU0;2;2
;;SGHTCTX-CORP-DB;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 16 1b 14 78 27 85 d3-51 c1 9a 55 cc 61 b8 83;Microsoft Windows Server 2008 R2 Datacenter ;Service Pack 1;64-bit;1033;12.0;CPU0;2;2
;;S-K140A;ki.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c b3 c5 6b 46 84 3e-31 13 e4 51 13 01 c6 3a;Microsoft(R) Windows(R) Server 2003. Standard Edition;Service Pack 2;NULL;1033;2.0;CPU0;NULL;NULL
;;S-K1ACS-S;boxer.local;0;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-42 3c 48 0f 68 e4 ff aa-fe 62 b1 2c 68 d6 c9 e8;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;12.0;CPU0;2;2
;;S-K1ACS-T;boxer.local;0;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-42 3c 9d a6 8a 23 6b f2-32 9f d6 63 dc ba d3 8f;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;12.0;CPU0;2;2
;;S-K1BUILDSERVER;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c 15 cb 81 00 af 94-99 8a fe 87 9f 1a 60 cc;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;8.0;CPU0;2;2
;;S-K1CRM-DB-P;boxer.local;0;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-42 3c 4f 61 17 0a aa 26-31 42 53 86 86 5c 21 50;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;56.0;CPU0/CPU1/CPU2;2002-02-02;2002-02-02
;;S-K1CRM-DB-S;boxer.local;0;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-42 3c 60 6f d0 6f 77 fa-db 0f 01 1a 6c 8a 62 e2;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;56.0;CPU0/CPU1;02-feb;02-feb
;;S-K1CTLG-DB-P;boxer.local;0;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-42 3c 52 68 de 72 db 16-42 85 d7 0c 6b be 41 05;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;12.0;CPU0;2;2
;;S-K1DW-DB-P;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c de 95 45 86 e5 fb-04 1f 31 a8 14 e5 4e c7;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;16.0;CPU0;2;2
;;S-K1DW-DB-T;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c 3f 83 2f d6 95 30-8d 81 de 36 21 94 15 ed;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;16.0;CPU0;2;2
;;S-K1IFS-BI-T;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c 6f ad 77 42 7d a0-e3 ae 33 23 5b b3 22 44;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;16.0;CPU0;4;4
;;S-K1LIME-DB-P;boxer.local;0;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-42 3c 5f 25 ab 4f c3 6d-37 75 c5 18 69 c6 22 99;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;40.0;CPU0/CPU1;02-feb;02-feb
;;S-K1LIME-DB-S;boxer.local;0;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-42 3c 63 27 32 04 ed f7-e4 fe 4c 12 0c aa 2d f6;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;40.0;CPU0/CPU1;02-feb;02-feb
;;S-K1NAVMIG-DB-P;boxer.local;0;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-42 3c a1 88 bf 9c 32 90-5a b0 c2 5f 94 b3 c3 5c;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;32.0;CPU0/CPU1;02-feb;02-feb
;;S-K1NAV-P;boxer.local;0;ProLiant DL380p Gen8;HP;2016-04-06;CZ22450470      ;Microsoft Windows Server 2008 R2 Enterprise ;Service Pack 1;64-bit;1033;256.0;CPU0/CPU1;08-aug;16/16
;;S-K1NAV-S;boxer.local;0;ProLiant DL380p Gen8;HP;2016-04-06;CZ22450472      ;Microsoft Windows Server 2008 R2 Enterprise ;Service Pack 1;64-bit;1033;256.0;CPU0/CPU1;08-aug;16/16
;;S-K1NCFLOW;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c c1 4d 5e 42 01 33-34 08 5c ea 9e 8d 3a 19;Microsoft Windows Server 2008 R2 Datacenter ;Service Pack 1;64-bit;1033;8.0;CPU0;2;2
;;S-K1NCFLOWDB-P;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c c0 e0 c3 ac 07 7b-97 fb 81 34 02 08 34 5d;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;16.0;CPU0;4;4
;;S-K1SKYPEFE-P;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c a9 8a 2b ec 69 6b-e8 55 5b a1 dd da b1 62;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;32.0;CPU0;4;4
;;S-K1SKYPEMON-DB;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c 8e 79 62 64 9e 9e-91 cf 56 fa c4 3f 3a ab;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;16.0;CPU0/CPU1;02-feb;02-feb
;;S-K1SP-DB-P;Corpnet.teracom.se;0;VMware7.1;VMware. Inc.;2016-06-13;VMware-42 3c 60 22 30 6a 55 13-8f 58 3a 3e 58 03 f7 8b;Microsoft Windows Server 2012 Datacenter;NULL;64-bit;1033;32.0;CPU0;4;4
;;S-K1WEBDB-P;perimeter.boxer.local;0;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-42 3c 59 8b ef a9 bf 02-c2 34 8d 0b 30 6f a5 b3;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;32.0;CPU0/CPU1;02-feb;02-feb
;;S-K2DB-P;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c 77 d4 31 0d 6e 91-68 7d f1 0b 9d 3e 19 33;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;16.0;CPU0;2;2
;;S-K2INT-DEV;boxer.local;0;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-42 3c 55 1f 82 2f d4 b9-60 4d 9c 0a fd b2 3c 66;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;16.0;CPU0/CPU1;02-feb;02-feb
;;S-K2RS-DB-P;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c b3 4e e4 da 00 f5-9f 3f 0f 09 5e 30 de a4;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;8.0;CPU0/CPU1;01-jan;01-jan
;;S-K2WEBDB-T;boxer.local;0;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-42 3c c8 ff 78 83 fe a0-9a ce f9 0c 64 01 47 6b;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;24.0;CPU0/CPU1;01-jan;01-jan
;;S-K2WEBDB-UTV;boxer.local;0;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-42 3c e8 55 6a 54 7a 88-3a 66 77 ff 92 04 2b 53;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;8.0;CPU0;1;1
;;S-K3DB-P;boxer.local;0;VMware Virtual Platform;VMware. Inc.;2016-04-06;VMware-42 3c 60 dd 78 1f b3 97-8f 86 7f 54 4b 9f 64 99;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;24.0;CPU0/CPU1;02-feb;02-feb
;;S-K3SAP-T;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c 6d ce 8a 31 01 3e-28 6f 10 9e ad 3f b7 de;Microsoft Windows Server 2012 R2 Datacenter;NULL;64-bit;1033;8.0;CPU0;1;1
;;S-K48A;ki.teracom.se;0;ProLiant DL380 G3;HP;2016-06-13;8250LKB71036    ;Microsoft(R) Windows(R) Server 2003. Standard Edition;Service Pack 1;NULL;1033;3.7;CPU0/CPU1/CPU2/CPU3;///;///
;;S-KDIRSYNC;Corpnet.teracom.se;0;VMware7.1;VMware. Inc.;2016-06-13;VMware-42 3c 7c 49 99 f9 5a be-46 32 a4 1f 6a 8a f1 ff;Microsoft Windows Server 2012 Datacenter;NULL;64-bit;1033;8.0;CPU0;1;1
;;SQLTEST2;Corpnet.teracom.se;0;VMware Virtual Platform;VMware. Inc.;2016-06-13;VMware-42 3c c1 17 73 25 a3 29-5e f3 ab ca e1 94 9a 7c;Microsoft Windows Server 2012 R2 Standard;NULL;64-bit;1033;8.0;CPU0;2;2
