ID;ModifyDate;ComputerName;Name;Vendor;Version;Decomissioned
;2017-03-27 10:41;S-K1WEBDB-P;SQL Server 2014 Common Files;Microsoft Corporation;12.1.4100.1;0
;2017-03-27 10:41;S-K1WEBDB-P;Microsoft ODBC Driver 11 for SQL Server;Microsoft Corporation;12.1.4100.1;0
;2017-03-27 10:41;S-K1WEBDB-P;Microsoft SQL Server 2014 Setup (English);Microsoft Corporation;12.1.4100.1;0
;2017-03-27 10:41;S-K1WEBDB-P;SQL Server 2014 Client Tools;Microsoft Corporation;12.1.4100.1;0
;2017-03-27 10:41;S-K1WEBDB-P;Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148;Microsoft Corporation;9.0.30729.4148;0
;2017-03-27 10:41;S-K1WEBDB-P;Microsoft Report Viewer 2014 Runtime;Microsoft Corporation;12.0.2000.8;0
;2017-03-27 10:41;S-K1WEBDB-P;Microsoft SQL Server 2014 Transact-SQL Compiler Service ;Microsoft Corporation;12.1.4100.1;0
;2017-03-27 10:41;S-K1WEBDB-P;Microsoft Silverlight;Microsoft Corporation;5.1.20513.0;0
;2017-03-27 10:41;S-K1WEBDB-P;SQL Server 2014 Database Engine Services;Microsoft Corporation;12.1.4100.1;0
;2017-03-27 10:41;S-K1WEBDB-P;Microsoft SQL Server 2014 Policies ;Microsoft Corporation;12.0.2000.8;0
;2017-03-27 10:41;S1WEBDB-P;Microsoft Application Error Reporting;Microsoft Corporation;12.0.6012.5000;0
;2017-03-27 10:41;S1WEBDB-P;Microsoft SQL Server System CLR Types;Microsoft Corporation;10.51.2500.0;0
;2017-03-27 10:41;S1WEBDB-P;SQL Server 2012 Client Tools;Microsoft Corporation;11.1.3000.0;0
;2017-03-27 10:41;S1WEBDB-P;Microsoft Help Viewer 1.1;Microsoft Corporation;1.1.40219;0
;2017-03-27 10:41;S1WEBDB-P;Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4974;Microsoft Corporation;9.0.30729.4974;0
;2017-03-27 10:41;S1WEBDB-P;Microsoft SQL Server 2012 Policies ;Microsoft Corporation;11.0.2100.60;0
;2017-03-27 10:41;S1WEBDB-P;OP5 NSClient++ Windows Agent (x64);MySolutions NORDIC;0.3.9.146;0
;2017-03-27 10:41;S1WEBDB-P;SQL Server Browser for SQL Server 2012;Microsoft Corporation;11.1.3000.0;0
;2017-03-27 10:41;S1WEBDB-P;Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148;Microsoft Corporation;9.0.30729.4148;0
;2017-03-27 10:41;S1WEBDB-P;Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219;Microsoft Corporation;10.0.40219;0
;2017-03-27 10:41;S1WEBDB-P;Configuration Manager Client;Microsoft Corporation;5.00.7958.1000;0
;2017-03-27 10:41;S1WEBDB-P;Microsoft Visual C++ 2005 Redistributable (x64);Microsoft Corporation;8.0.61000;0
;2017-03-27 10:41;S1WEBDB-P;Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219;Microsoft Corporation;10.0.40219;0
;2017-03-27 10:41;S1WEBDB-P;SQL Server 2012 Management Studio;Microsoft Corporation;11.1.3000.0;0
;2017-03-27 10:41;S1WEBDB-P;SQL Server 2012 Management Studio;Microsoft Corporation;11.1.3000.0;0
;2017-03-27 10:41;S1WEBDB-P;Visual Studio 2010 Prerequisites - English;Microsoft Corporation;10.0.40219;0
;2017-03-27 10:41;S1WEBDB-P;Microsoft Visual C++ 2010  x86 Runtime - 10.0.40219;Microsoft Corporation;10.0.40219;0
;2017-03-27 10:41;S1WEBDB-P;Microsoft Visual Studio 2010 Shell (Isolated) - ENU;Microsoft Corporation;10.0.40219;0
;2017-03-27 10:41;S1WEBDB-P;Microsoft SQL Server 2008 R2 Management Objects;Microsoft Corporation;10.51.2500.0;0
;2017-03-27 10:41;S1WEBDB-P;Microsoft System CLR Types for SQL Server 2012 (x64);Microsoft Corporation;11.1.3000.0;0
;2017-03-27 10:41;S1WEBDB-P;SQL Server 2012 Client Tools;Microsoft Corporation;11.1.3000.0;0
;2017-03-27 10:41;S1WEBDB-P;Microsoft .NET Framework 4 Multi-Targeting Pack;Microsoft Corporation;4.0.30319;0
;2017-03-27 10:41;S1WEBDB-P;Microsoft Policy Platform;Microsoft Corporation;1.2.3602.0;0
;2017-03-27 10:41;S1WEBDB-P;SQL Server 2012 Common Files;Microsoft Corporation;11.1.3000.0;0
;2017-03-27 10:41;S1WEBDB-P;Microsoft SQL Server 2012 Native Client ;Microsoft Corporation;11.1.3000.0;0
;2017-03-27 10:41;S1WEBDB-P;SQL Server 2012 Database Engine Services;Microsoft Corporation;11.1.3000.0;0
;2017-03-27 10:41;S1WEBDB-P;VMware Tools;VMware. Inc.;8.6.5.11214;0
