ID;date;ComputerName;Name;Vendor;Version;Decomissioned
;;S-K1LIME-DB-S;Microsoft SQL Server 2012 Transact-SQL ScriptDom ;Microsoft Corporation;11.1.3000.0;0
;;S-K1LIME-DB-S;Microsoft SQL Server 2008 Setup Support Files ;Microsoft Corporation;10.1.2731.0;0
;;S-K1LIME-DB-S;SQL Server 2012 Database Engine Shared;Microsoft Corporation;11.1.3000.0;0
;;S-K1LIME-DB-S;SQL Server 2012 Database Engine Services;Microsoft Corporation;11.1.3000.0;0
;;S-K1LIME-DB-S;Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148;Microsoft Corporation;9.0.30729.4148;0
;;S-K1LIME-DB-S;Sql Server Customer Experience Improvement Program;Microsoft Corporation;11.1.3000.0;0
;;S-K1LIME-DB-S;Microsoft SQL Server 2012 RsFx Driver;Microsoft Corporation;11.1.3000.0;0
;;S-K1LIME-DB-S;Microsoft Report Viewer 2012 Runtime;Microsoft Corporation;11.0.2100.60;0
;;S-K1LIME-DB-S;SQL Server 2012 Database Engine Shared;Microsoft Corporation;11.1.3000.0;0
;;S-K1LIME-DB-S;SQL Server 2012 Common Files;Microsoft Corporation;11.1.3000.0;0
;;S-K1LIME-DB-S;Microsoft VSS Writer for SQL Server 2012;Microsoft Corporation;11.1.3000.0;0
;;S-K1LIME-DB-S;SQL Server 2012 SQL Data Quality Common;Microsoft Corporation;11.1.3000.0;0
;;S-K1CRM-DB-S;Microsoft Application Error Reporting;Microsoft Corporation;12.0.6012.5000;0
;;S-K1CRM-DB-S;Microsoft Application Error Reporting;Microsoft Corporation;12.0.6015.5000;0
;;S-K1CRM-DB-S;Microsoft SQL Server System CLR Types;Microsoft Corporation;10.51.2500.0;0
;;S-K1CRM-DB-S;SQL Server 2012 Client Tools;Microsoft Corporation;11.1.3000.0;0
;;S-K1CRM-DB-S;SQL Server 2012 Integration Services;Microsoft Corporation;11.1.3000.0;0
;;S-K1CRM-DB-S;Microsoft Help Viewer 1.1;Microsoft Corporation;1.1.40219;0
;;S-K1CRM-DB-S;Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4974;Microsoft Corporation;9.0.30729.4974;0
;;S-K1CRM-DB-S;Microsoft SQL Server 2012 Policies ;Microsoft Corporation;11.0.2100.60;0
;;S-K1CRM-DB-S;VMware Tools;VMware. Inc.;10.0.9.3917699;0
;;S-K1CRM-DB-S;OP5 NSClient++ Windows Agent (x64);MySolutions NORDIC;0.3.9.146;0
